In_0	In_1	In_2	In_3	In_4	In_5	
35101.985976583914	45673.923516776216	46979.999556029325	42794.11568160135	61198.39972258575	57367.088873194465	
110361.4996892549	174341.30788942898	152630.29463845707	143229.18805179352	273484.52127861534	296222.93163277983	
111729.04936985587	149857.91136380914	181207.91191563313	268944.1484701823	231517.82955668934	205170.4580518632	
184481.68056459312	338404.9363285348	283368.38037846057	265921.6618264096	291622.2971458343	271028.12099758745	
49880.82456787992	217350.77552616433	278944.787093389	207753.47675115557	267341.0064258502	329712.65107476764	
42367.47691501917	53044.68007058745	50431.91108141605	133853.23092111555	115847.85711199924	177105.44766844442	
8856.920654414667	38608.67057244816	25514.528149343478	169587.92146149455	157928.53034364077	212588.16139710092	
247273.97132130177	467324.5456833896	506174.4432272875	421670.6398816212	397171.439998973	405753.2322372196	
4390.442467491946	5171.336825763728	42936.805946576875	114303.00519687905	194316.2772238626	153928.3163419201	
175731.13868628372	348927.9408923036	284184.4304030177	372792.15580502176	408051.26113585726	360867.1553911813	
3801.716189888636	11399.404373064484	8244.699812097526	6750.892256012835	38097.78921744922	30484.106697778712	
12397.337584040824	20614.62777300593	114638.58323887596	84104.6805893626	113264.60202352043	150462.64390372855	
50675.94114969235	137948.40334011373	104968.60981649782	101560.7508781831	214607.52753947634	211607.52773063933	
172731.1539113408	334434.13489513804	324847.12324087776	407069.37969229184	353245.6393353582	327841.2474676389	
95027.19697285352	132911.6175549831	180474.89160197502	245560.742220033	248025.78647031545	219342.67833147425	
5511.990658383955	147334.84101027445	199215.65804581603	141616.425057008	119207.16353371913	152590.35623093855	
492.46196902295515	182306.08001252127	229869.07103849069	162698.06028639278	181265.62847454916	208926.3735958858	
84989.15822742808	113761.06955794389	151736.6721344394	229060.880183989	206082.08197283707	183910.37407493265	
74102.45863748976	288785.53215750033	200061.3525282553	309422.9272692527	314954.3091312451	359815.6345809244	
125295.76624593967	204175.21537432916	293936.79926413036	243583.34852051467	281492.50476273615	238851.2530695983	
223634.56595972265	352306.32254012715	484838.37344394403	473928.3196002833	465821.7574877488	472159.8543374939	
84233.45399436224	241092.24267326103	332622.01439437806	249352.28222949477	340511.62808964984	363891.5433552287	
14771.673904315932	110021.46823189416	68922.05487817293	62950.03366320162	81882.45919634875	69811.09700626283	
45496.35172759415	59072.00268128998	180054.69480560464	134325.09626443285	119931.36215380047	112663.91173184257	
519.6130801026501	117204.3651486945	105533.61939173371	158624.4599955908	122599.82869956795	99580.93694520782	
120366.58723481413	161667.67340269405	191353.28091681848	259270.39364717444	238407.47591943978	221277.9194006697	
68010.54410460134	234988.79820856574	165372.22163428	149245.16985343565	187536.6592674033	182712.06912102265	
71854.75819929394	218909.3287386953	159632.68030541705	142871.67523535853	239372.7960316686	224647.12587078556	
113.90614048874961	7488.0247223968845	114694.17903772146	75675.82836537423	113567.14263571614	163053.4725477777	
462.4210944612584	18271.268551152712	15968.490535837791	13418.333486454485	20287.604130863117	141093.86077245037	
3085.227781925731	167087.07485245258	255608.3109922089	210512.4006179415	248908.22261856956	219825.16558912964	
42196.43393057074	52698.62608622634	110090.9841260139	237575.27445536526	194058.95286567614	207317.88476210806	
201792.86626664634	340796.7119683758	326110.1732005608	288173.3896373774	277003.69132481475	383421.1809591341	
1848.4760477962138	56437.77713340931	201939.92638175498	232524.4555927041	188625.1423217065	258485.04443785423	
95370.03577192703	280777.72811558144	203620.8706326435	208676.79418091485	204489.60225655008	292785.3942704966	
894.0609589906679	181600.39561728787	108613.43476188721	128286.27834499459	217999.4115186679	176180.8825034498	
76443.89676080352	201875.61942324476	149432.71441090305	146485.58261145238	136085.05949381008	127443.77893043608	
21308.340396405543	95003.8615613418	71217.62512712117	200078.59061882136	152341.49396970277	158172.73087377442	
155.80365405035462	148624.83546806723	87940.49674583793	74739.2336546929	67493.3726061235	137506.79663791312	
1814.477713224449	71211.5245783508	57379.336513734204	173581.28149867817	135563.25264651832	166656.10286858171	
10273.8529476791	18242.47574603314	14804.72312292328	97405.10092854842	73767.61585517146	120089.86368908342	
9781.904935497398	139750.5983798629	207751.21037356005	272321.83345276484	253122.46548392953	205979.2296178187	
1823.6948744127656	3637.292807630196	5380.210425136184	10132.79816570432	18314.467174685153	32445.90184725514	
